gt_volume_quintile,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
Q1 smallest,v1_raw,106,0.37711824697888535,0.25351081171185924,0.367960350075049,0.26476242634889735,0.21174843327814818,0.22546103519210947,0.30102813355413655,0.2477804402218498,0.25349747558645985,0.7733008071329536,0.24431692507190836,0.8464540577751212,17.936428173392677,39.62419408607833,6.607663551671557,2.1709511423788452,0.9978516087733488,2.2217667793729863,10.129088905041833,22.150703253004142,2.9181262534619425,0.6731688424875193,0.20485460986249637,0.6835322978711336
Q1 smallest,v1_lcc,106,0.38149283900397124,0.3428121328919011,0.3863314307241954,0.29570153059455323,0.288798949065101,0.23941286397291975,0.3550132727617837,0.3457911067923451,0.2569513359811022,0.551289233374333,0.40788836849956417,0.7748933709330805,11.14444144700839,23.99272332157979,3.890830311372353,2.1709511423788452,0.9978516087733488,2.2217667793729863,6.290888085666599,13.751135238191438,1.9592401195505165,,,
Q1 smallest,v2_raw,106,0.3905721842578709,0.2623988313618886,0.3742007795775552,0.27832872243557183,0.22329545675355528,0.23018889137371207,0.3181928632525323,0.262306190991638,0.2556804173543144,0.7657590241190402,0.2435372270153979,0.8426222076296741,16.243621803563858,34.58314528569248,5.957032296081469,2.1709511423788452,0.9978516087733488,2.2217667793729863,9.011857029431122,18.672056893730627,2.7121388630009324,0.6736498190882871,0.20747953846227435,0.6774581249118713
Q1 smallest,v2_lcc,106,0.3945732971967622,0.35049104077026183,0.4217763771849016,0.3094483551538108,0.2974039974479514,0.26724772672484326,0.37236016429057617,0.35502446339644395,0.30655159852329916,0.5369713529577078,0.4129074693033364,0.7479562959801651,10.174697721567616,21.641751549339062,3.6245436187013187,2.1709511423788452,0.9978516087733488,2.2217667793729863,5.65546029749768,12.272479617984372,1.8057522122213143,,,
Q1 smallest,v1_small50,106,0.38964869900182875,0.25831582632412714,0.39162022492511794,0.27619331481221715,0.2179611569808094,0.2434908469811331,0.3179900690518541,0.25896324281849165,0.26360282125695067,0.7718147756710046,0.24539199804837458,0.8438054840014477,17.304026720877715,39.175053069505545,6.187665406606918,2.1709511423788452,0.9978516087733488,2.2217667793729863,9.737228186664641,21.764537566312445,2.6793757471168202,,,
Q1 smallest,v1_small100,106,0.39413013117527834,0.26071548620210117,0.39479517224726374,0.28057995424859705,0.22115428315715263,0.2459536494435913,0.32357125727086056,0.26289799468121583,0.26813924542132517,0.7716183642978887,0.24532690972236615,0.8438054840014477,17.126622166691085,39.04043435223553,6.125867310903793,2.1709511423788452,0.9978516087733488,2.2217667793729863,9.631143171189786,21.671899330249776,2.639701419786972,,,
Q1 smallest,v2_small50,106,0.40308229663700107,0.2666638804212093,0.3976634114914745,0.2899041742900358,0.22931501451971237,0.2481795583526271,0.33539152905503794,0.27269295353690637,0.2688533239134894,0.7642337622613185,0.2444315366623314,0.84232821968318,15.647474267963773,34.15334503518008,5.675242991224366,2.1709511423788452,0.9978516087733488,2.2217667793729863,8.641196448772995,18.29897926783122,2.5837191589540014,,,
Q1 smallest,v2_small100,106,0.4074876060790419,0.26847859479947933,0.40108095691793677,0.2941387312264408,0.23179542190256353,0.2508459220158379,0.340739370543884,0.2755163817789917,0.27158055736484593,0.763966508815679,0.24432510901816726,0.84232821968318,15.47339230401923,34.03242125379249,5.607403411261483,2.1709511423788452,0.9978516087733488,2.2217667793729863,8.541722311939516,18.230113429102293,2.5472326724675147,,,
Q1 smallest,kin_v1_raw,106,0.37711824697888535,0.25351081171185924,0.367960350075049,,,,0.30102813355413655,0.2477804402218498,0.25349747558645985,0.7733008071329536,0.24431692507190836,0.8464540577751212,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,kin_v1_lcc,106,0.38149283900397124,0.3428121328919011,0.3863314307241954,,,,0.3550132727617837,0.3457911067923451,0.2569513359811022,0.551289233374333,0.40788836849956417,0.7748933709330805,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,kin_v2_raw,106,0.3905721842578709,0.2623988313618886,0.3742007795775552,,,,0.3181928632525323,0.262306190991638,0.2556804173543144,0.7657590241190402,0.2435372270153979,0.8426222076296741,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,kin_v2_lcc,106,0.3945732971967622,0.35049104077026183,0.4217763771849016,,,,0.37236016429057617,0.35502446339644395,0.30655159852329916,0.5369713529577078,0.4129074693033364,0.7479562959801651,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,kin_v2_kinetic_cc,106,0.22754462266699513,0.33554167336270996,0.0,,,,0.21610359683339359,0.3261068309954052,0.0,0.28140100966776976,0.4058671682022897,0.0,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,kin_delta_v2_lcc_minus_raw,106,0.004001112938891442,0.17117066666284156,0.016114071211270502,,,,,,,,,,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,kin_delta_kineticcc_minus_lcc,106,-0.1670286745297671,0.35507221425190433,0.0,,,,,,,,,,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,v1_raw_error_1_minus,106,0.6228817530211145,0.25351081171185924,0.632039649924951,,,,,,,,,,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,v1_lcc_error_1_minus,106,0.6185071609960286,0.3428121328919011,0.6136685692758046,,,,,,,,,,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,v1_small50_error_1_minus,106,0.6103513009981714,0.2583158263241272,0.6083797750748821,,,,,,,,,,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,v1_small100_error_1_minus,106,0.6058698688247217,0.26071548620210117,0.6052048277527362,,,,,,,,,,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,v2_raw_error_1_minus,106,0.6094278157421292,0.2623988313618886,0.6257992204224448,,,,,,,,,,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,v2_lcc_error_1_minus,106,0.6054267028032377,0.3504910407702619,0.5782236228150984,,,,,,,,,,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,v2_small50_error_1_minus,106,0.596917703362999,0.2666638804212093,0.6023365885085255,,,,,,,,,,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q1 smallest,v2_small100_error_1_minus,106,0.5925123939209581,0.26847859479947933,0.5989190430820632,,,,,,,,,,,,,2.1709511423788452,0.9978516087733488,2.2217667793729863,,,,,,
Q2,v1_raw,105,0.5538719908361273,0.218510141192638,0.5943717512098943,0.41337937097315613,0.20601267661027217,0.4228513134404488,0.4888850653580922,0.26053148986209457,0.4908220271348762,0.7936577178266179,0.19542897739940007,0.8748128182090447,15.411293923978794,20.411845587300274,9.426387519538665,5.645892624721663,1.1343463417661166,5.557403889562066,2.8440231619886363,4.091922678202816,1.699337748344371,0.7722120487412597,0.17873295144895002,0.8339044335596713
Q2,v1_lcc,105,0.5855447611663751,0.3094610698580942,0.7001227747084101,0.47323442906704893,0.2773033348918051,0.5386068476977568,0.5751518233655964,0.33569798353044605,0.6573438285044381,0.6832781075650659,0.3276774209845659,0.8366058906030855,11.772628476667458,17.86324819212554,6.827392578125,5.645892624721663,1.1343463417661166,5.557403889562066,2.1823251430113166,3.574925209170687,1.2285528772015255,,,
Q2,v2_raw,105,0.569676343677772,0.21630373769644845,0.6058327932598834,0.4287817851263805,0.20658551906053205,0.4345481591669766,0.5137003124171959,0.2647178412391256,0.5224231730627849,0.794539425254408,0.18677263124765425,0.8774756868034358,15.024137863097554,20.482320430699616,9.281005859375,5.645892624721663,1.1343463417661166,5.557403889562066,2.772710856616729,4.100200989953077,1.6840039254170756,0.78492306727851,0.17317782733302997,0.8433502633559067
Q2,v2_lcc,105,0.5905095823370062,0.3115376548933065,0.7124503620649381,0.47950768609127925,0.2804542842173596,0.5533381712626996,0.5934516741950322,0.3437301005305589,0.7006972111553785,0.6752408967590751,0.3274114791778457,0.8380084151472651,11.606646306764361,17.877911905946885,6.77978515625,5.645892624721663,1.1343463417661166,5.557403889562066,2.1509815122839226,3.5743253683491822,1.1855209742895805,,,
Q2,v1_small50,105,0.5644884610642277,0.219692159118591,0.6160244840304481,0.4243541491277905,0.20845325287250308,0.4451122703560898,0.5048549002317366,0.2644575552779309,0.5100279740173533,0.7919446716826692,0.19750396085302474,0.8744954128440366,14.84835953075462,19.708337488028935,9.02009583165227,5.645892624721663,1.1343463417661166,5.557403889562066,2.73536367109031,3.9087509974501633,1.6159224730127577,,,
Q2,v1_small100,105,0.5685803206656669,0.220506737954089,0.6198955365622032,0.4287517738650723,0.2098807867710683,0.4491656631687596,0.5113242115665262,0.2664825452571039,0.5230053842388644,0.7912073952632196,0.19760279355559418,0.8744954128440366,14.679243022780334,19.55007156996591,8.938521931283805,5.645892624721663,1.1343463417661166,5.557403889562066,2.702547362663193,3.8667483161633496,1.5873436350257546,,,
Q2,v2_small50,105,0.5799975275238916,0.21741494188018662,0.6249253496778249,0.43966675962229096,0.20892952479187984,0.454466489896681,0.5304354078719457,0.2688285009702062,0.5374646559849199,0.7925588658470177,0.18936193861074138,0.8745376955903271,14.482077295914467,19.77527400932639,8.698489197444031,5.645892624721663,1.1343463417661166,5.557403889562066,2.668196558944474,3.916335979049716,1.5576366681894318,,,
Q2,v2_small100,105,0.5835323094337852,0.2179615193687777,0.6276722090261283,0.4434810243362728,0.20988555516754584,0.4573777585460839,0.5365386596756588,0.2702636167315853,0.5500597643576755,0.7917341422205935,0.18986586888433257,0.8745376955903271,14.330329526709825,19.614184096711814,8.57492292871639,5.645892624721663,1.1343463417661166,5.557403889562066,2.638112443885469,3.873790028607396,1.5461330792440844,,,
Q2,kin_v1_raw,105,0.5538719908361273,0.218510141192638,0.5943717512098943,,,,0.4888850653580922,0.26053148986209457,0.4908220271348762,0.7936577178266179,0.19542897739940007,0.8748128182090447,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,kin_v1_lcc,105,0.5855447611663751,0.3094610698580942,0.7001227747084101,,,,0.5751518233655964,0.33569798353044605,0.6573438285044381,0.6832781075650659,0.3276774209845659,0.8366058906030855,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,kin_v2_raw,105,0.569676343677772,0.21630373769644845,0.6058327932598834,,,,0.5137003124171959,0.2647178412391256,0.5224231730627849,0.794539425254408,0.18677263124765425,0.8774756868034358,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,kin_v2_lcc,105,0.5905095823370062,0.3115376548933065,0.7124503620649381,,,,0.5934516741950322,0.3437301005305589,0.7006972111553785,0.6752408967590751,0.3274114791778457,0.8380084151472651,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,kin_v2_kinetic_cc,105,0.33677402556476776,0.3837712930300968,0.0,,,,0.3547086198757447,0.4056092618730856,0.0,0.36070401906892174,0.4113692045866533,0.0,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,kin_delta_v2_lcc_minus_raw,105,0.020833238659234084,0.17085727257283181,0.0336766534629743,,,,,,,,,,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,kin_delta_kineticcc_minus_lcc,105,-0.25373555677223836,0.4412576907382449,0.0,,,,,,,,,,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,v1_raw_error_1_minus,105,0.44612800916387274,0.218510141192638,0.4056282487901057,,,,,,,,,,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,v1_lcc_error_1_minus,105,0.41445523883362484,0.3094610698580942,0.2998772252915899,,,,,,,,,,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,v1_small50_error_1_minus,105,0.43551153893577244,0.219692159118591,0.3839755159695519,,,,,,,,,,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,v1_small100_error_1_minus,105,0.43141967933433306,0.220506737954089,0.3801044634377968,,,,,,,,,,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,v2_raw_error_1_minus,105,0.43032365632222797,0.21630373769644845,0.3941672067401166,,,,,,,,,,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,v2_lcc_error_1_minus,105,0.4094904176629938,0.3115376548933065,0.2875496379350619,,,,,,,,,,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,v2_small50_error_1_minus,105,0.4200024724761084,0.2174149418801866,0.3750746503221751,,,,,,,,,,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q2,v2_small100_error_1_minus,105,0.41646769056621474,0.21796151936877767,0.3723277909738717,,,,,,,,,,,,,5.645892624721663,1.1343463417661166,5.557403889562066,,,,,,
Q3,v1_raw,105,0.6171078285441481,0.2019104867544685,0.6676175382989963,0.4750192506496837,0.20094848896414472,0.5010704940131631,0.5666170784173811,0.24580343932544627,0.6443305260588307,0.7716805600997023,0.17881159817831174,0.8172661870503597,18.495732692750416,13.065242004915229,14.584822365512064,10.534945766919833,2.094378997216325,10.151254047824851,1.7835691692447604,1.2868180958338677,1.269603002172625,0.8256341694903588,0.1739347159038687,0.912757277952902
Q3,v1_lcc,105,0.6535499539730086,0.24139091710458854,0.7450842781602798,0.5245558962258755,0.22410268552895354,0.5937325233825089,0.6436922905093809,0.2706437693225026,0.7377266245671216,0.7279373937712122,0.2583175736699812,0.8154767750171855,14.61871082033794,10.610632625908924,12.116312438145664,10.534945766919833,2.094378997216325,10.151254047824851,1.4022386906210482,1.0393993295819657,1.1383035411519644,,,
Q3,v2_raw,105,0.6210541434511501,0.20084559263009985,0.6655682666003482,0.47906849089449016,0.20089427728810813,0.4987653170572613,0.5746610098268101,0.24703045150296765,0.6443043124491457,0.7673787435989101,0.17912067343766805,0.8157315462505503,18.065459548716717,12.855057770071788,14.501056650668689,10.534945766919833,2.094378997216325,10.151254047824851,1.7413234023119522,1.2651554411220403,1.2831780629284584,0.824830686964668,0.1789339319355902,0.912757277952902
Q3,v2_lcc,105,0.6587194165829927,0.24225762206207918,0.753915810083211,0.530823478475596,0.22557227731173674,0.605027987822842,0.6561602054571828,0.27350267489881236,0.7493724158298878,0.7235836796939218,0.25787061600090544,0.813767838591503,14.274192271271252,10.539751352222305,11.4398193359375,10.534945766919833,2.094378997216325,10.151254047824851,1.3690544238078297,1.0333192650703413,1.1031308482120277,,,
Q3,v1_small50,105,0.6271537754963765,0.20302154374052048,0.6844670710571924,0.48646168292329917,0.20440444030710506,0.5202964182791272,0.5833286081353258,0.2494339092115026,0.6561672063585516,0.7698961383345283,0.1807312882140155,0.8172661870503597,17.82906172064335,12.44641562087032,14.256666896366802,10.534945766919833,2.094378997216325,10.151254047824851,1.7171108545905147,1.2162988397939523,1.2383881496359528,,,
Q3,v1_small100,105,0.6298533941226679,0.2030506392263912,0.6844670710571924,0.4894828862173633,0.20504062820144017,0.5202964182791272,0.5877725502024701,0.24997498657056394,0.6558896007885658,0.7691573737373147,0.18122373897168964,0.8172661870503597,17.647247525311993,12.34146789430409,14.179986808319788,10.534945766919833,2.094378997216325,10.151254047824851,1.6987472435384352,1.2035446143893072,1.2383881496359528,,,
